SPY,EFA,EEM,TLT
85.291107,32.031368,18.290995,49.377769
85.007957,31.820156,18.264374,49.484993
84.289719,31.703436,18.313177,49.613644
83.502411,31.736782,18.486216,50.074749
83.799377,31.703436,18.302084,50.026463
83.868446,31.570042,18.286554,49.651211
83.965118,31.914646,18.448503,49.426029
83.944405,31.79237,18.326483,49.495667
84.027275,32.120293,18.535017,49.828094
84.711006,32.503796,18.861128,49.602917
84.973404,32.292591,18.830067,49.431332
84.669533,32.181431,18.949869,49.04493
83.716484,31.970228,18.772394,49.206364
82.618423,31.692316,18.202255,49.421703
82.321442,31.542257,17.565565,49.233307
82.604576,31.653418,18.000381,49.432453
81.907082,31.497787,17.940487,49.400139
81.789642,31.53669,18.018126,49.297909
81.147415,31.325474,17.465742,48.818855
81.099045,31.25878,17.357033,48.641228
81.955421,31.553368,17.290476,48.565903
82.2593,31.236557,17.481268,48.555107
81.368385,30.875282,17.037579,48.608959
82.72197,31.125395,17.370342,48.630455
81.264847,30.41396,16.671535,48.759666
81.582504,30.547352,17.115227,49.211781
82.846321,31.025345,17.576656,48.829597
82.680573,31.058701,17.230583,48.409775
82.438858,31.003111,17.2927,48.054554
81.561783,30.941973,16.882288,48.226753
82.735809,31.208767,17.325974,48.232189
82.963715,31.264345,17.636551,48.323685
83.212334,31.531134,17.947138,48.268021
84.082512,31.964664,18.22444,48.040905
84.441681,31.948,18.244404,47.716553
84.331139,31.653418,18.206694,47.640846
84.414017,31.836828,18.220005,47.803051
84.414017,31.759012,18.049189,48.268021
84.524513,31.736782,18.319834,47.770573
85.180626,31.69788,18.348675,48.354469
85.470673,31.864622,18.388601,48.381516
85.422333,31.675642,18.3398,48.019276
85.111526,31.50334,18.235533,48.332829
85.28418,31.447756,18.39082,48.841099
86.078407,31.986891,18.661467,48.959991
86.416786,32.209232,18.712492,48.732906
86.851906,32.253693,18.723589,48.878906
87.224815,32.359303,18.714712,48.943752
87.728973,32.514919,18.912151,48.754566
87.798004,32.203671,18.898846,48.932949
87.176506,32.287033,18.779047,49.176247
87.079765,32.237019,18.612667,48.711315
86.610176,31.986891,18.657038,48.657269
87.494209,32.587181,19.145086,48.581192
87.60466,32.709457,19.12291,48.597492
87.418152,32.85397,19.278196,48.380291
87.583931,32.95401,19.455669,48.87442
87.072876,32.737247,19.27154,48.689789
87.017639,32.731686,19.127342,49.004749
87.245552,33.059616,19.322563,48.619228
87.328415,33.476475,19.433487,48.526932
87.922371,33.637657,19.688604,48.70612
88.267654,33.620987,19.55772,49.20565
88.012123,33.309738,19.477858,49.086151
87.728851,33.570965,19.411297,49.249104
87.27758,33.509815,19.36693,49.297958
87.360909,33.515385,19.533316,49.238232
87.499741,33.676567,19.850554,49.151371
87.958015,33.871101,19.854994,49.542305
88.006622,33.854107,19.973427,49.846386
87.110947,33.542744,19.751352,50.253628
87.305344,33.786179,19.805185,50.113529
86.91658,33.797501,19.807428,50.222561
86.444458,33.644646,19.796211,50.108059
87.964905,34.771233,20.53647,50.042618
88.381477,35.059956,20.72266,50.162582
88.437004,34.884453,20.828093,50.102585
89.172958,35.354336,21.263266,50.009888
89.402061,35.371319,21.471888,50.042618
89.492317,35.054287,21.213915,49.639145
89.77697,35.354336,21.462914,49.557339
89.42292,35.065609,21.164564,49.889946
89.339584,35.201485,21.187002,50.17894
89.096588,34.759907,20.816866,50.402458
